medio,url,ubicacion,lat,lon,snippet
RPP,https://rpp.pe/peru/tacna/tacna-memoria-resistencia-y-peruanidad-en-la-ciudad-heroica-a-96-anos-de-su-reincorporacion-al-peru-noticia-1652510,Porvenir,-17.995701,-70.232167,"por Redacción RPP Por Javier Rumiche Hoy, 28 de agosto, se cumplen 96 años del retorno de Tacna al Perú . La ciudad revive su historia de lucha, resistencia y profunda identidad nacional. Resaltando l"
RPP,https://rpp.pe/peru/tacna/tacna-memoria-resistencia-y-peruanidad-en-la-ciudad-heroica-a-96-anos-de-su-reincorporacion-al-peru-noticia-1652510,Tacna,-18.01386,-70.2511032,"por Redacción RPP Por Javier Rumiche Hoy, 28 de agosto, se cumplen 96 años del retorno de Tacna al Perú . La ciudad revive su historia de lucha, resistencia y profunda identidad nacional. Resaltando l"
RPP,https://rpp.pe/peru/tacna/tacna-memoria-resistencia-y-peruanidad-en-la-ciudad-heroica-a-96-anos-de-su-reincorporacion-al-peru-noticia-1652510,iglesia de San Ramón,-18.0047207,-70.2363261,"por Redacción RPP Por Javier Rumiche Hoy, 28 de agosto, se cumplen 96 años del retorno de Tacna al Perú . La ciudad revive su historia de lucha, resistencia y profunda identidad nacional. Resaltando l"
RPP,https://rpp.pe/peru/tacna/tacna-memoria-resistencia-y-peruanidad-en-la-ciudad-heroica-a-96-anos-de-su-reincorporacion-al-peru-noticia-1652510,Ugarte,-18.0396934,-70.2540946,"por Redacción RPP Por Javier Rumiche Hoy, 28 de agosto, se cumplen 96 años del retorno de Tacna al Perú . La ciudad revive su historia de lucha, resistencia y profunda identidad nacional. Resaltando l"
RPP,https://rpp.pe/peru/tacna/tacna-memoria-resistencia-y-peruanidad-en-la-ciudad-heroica-a-96-anos-de-su-reincorporacion-al-peru-noticia-1652510,del Sur,-18.0944097,-70.2736842,"por Redacción RPP Por Javier Rumiche Hoy, 28 de agosto, se cumplen 96 años del retorno de Tacna al Perú . La ciudad revive su historia de lucha, resistencia y profunda identidad nacional. Resaltando l"
RPP,https://rpp.pe/peru/tacna/tacna-memoria-resistencia-y-peruanidad-en-la-ciudad-heroica-a-96-anos-de-su-reincorporacion-al-peru-noticia-1652510,Perú,-18.0224001,-70.242158,"por Redacción RPP Por Javier Rumiche Hoy, 28 de agosto, se cumplen 96 años del retorno de Tacna al Perú . La ciudad revive su historia de lucha, resistencia y profunda identidad nacional. Resaltando l"
RPP,https://rpp.pe/peru/tacna/tacna-memoria-resistencia-y-peruanidad-en-la-ciudad-heroica-a-96-anos-de-su-reincorporacion-al-peru-noticia-1652510,Institución Educativa,-11.9278948,-77.0438,"por Redacción RPP Por Javier Rumiche Hoy, 28 de agosto, se cumplen 96 años del retorno de Tacna al Perú . La ciudad revive su historia de lucha, resistencia y profunda identidad nacional. Resaltando l"
RPP,https://rpp.pe/peru/tacna/tacna-memoria-resistencia-y-peruanidad-en-la-ciudad-heroica-a-96-anos-de-su-reincorporacion-al-peru-noticia-1652510,Tacna al Perú,-17.6019435,-69.7669745,"por Redacción RPP Por Javier Rumiche Hoy, 28 de agosto, se cumplen 96 años del retorno de Tacna al Perú . La ciudad revive su historia de lucha, resistencia y profunda identidad nacional. Resaltando l"
RPP,https://rpp.pe/peru/tacna/tacna-memoria-resistencia-y-peruanidad-en-la-ciudad-heroica-a-96-anos-de-su-reincorporacion-al-peru-noticia-1652510,Ancón,-18.0727063,-70.2634413,"por Redacción RPP Por Javier Rumiche Hoy, 28 de agosto, se cumplen 96 años del retorno de Tacna al Perú . La ciudad revive su historia de lucha, resistencia y profunda identidad nacional. Resaltando l"
RPP,https://rpp.pe/peru/tacna/tacna-el-caso-de-una-mujer-cuyo-cuerpo-fue-hallado-tras-un-incendio-y-que-se-trataria-de-un-presunto-feminicidio-noticia-1651269,Tacna,-18.01386,-70.2511032,"por Paola Ly Ramirez Los restos de María del Rosario Romero Flores , joven madre de 30 años, quien fue hallada muerta en su vivienda del conjunto habitacional Alfonso Ugarte, en el distrito Gregorio A"
RPP,https://rpp.pe/peru/tacna/tacna-el-caso-de-una-mujer-cuyo-cuerpo-fue-hallado-tras-un-incendio-y-que-se-trataria-de-un-presunto-feminicidio-noticia-1651269,provincia de Tacna,-17.9117541,-70.2088623,"por Paola Ly Ramirez Los restos de María del Rosario Romero Flores , joven madre de 30 años, quien fue hallada muerta en su vivienda del conjunto habitacional Alfonso Ugarte, en el distrito Gregorio A"
RPP,https://rpp.pe/peru/tacna/tacna-el-caso-de-una-mujer-cuyo-cuerpo-fue-hallado-tras-un-incendio-y-que-se-trataria-de-un-presunto-feminicidio-noticia-1651269,Parque del Recuerdo de Pocollay,-17.9887661,-70.2050376,"por Paola Ly Ramirez Los restos de María del Rosario Romero Flores , joven madre de 30 años, quien fue hallada muerta en su vivienda del conjunto habitacional Alfonso Ugarte, en el distrito Gregorio A"
RPP,https://rpp.pe/peru/tacna/tacna-el-caso-de-una-mujer-cuyo-cuerpo-fue-hallado-tras-un-incendio-y-que-se-trataria-de-un-presunto-feminicidio-noticia-1651269,Ministerio Público,-18.0108662,-70.2534436,"por Paola Ly Ramirez Los restos de María del Rosario Romero Flores , joven madre de 30 años, quien fue hallada muerta en su vivienda del conjunto habitacional Alfonso Ugarte, en el distrito Gregorio A"
